,taxon,cen.dna,cen.silica,mimobaits,nit.fix,nit.fix.dna
1,Piptadeniastrum,NA,NA,NA,NA,NA
2,Piptadenia,NA,NA,NA,NA,NA
3,Mimosa,NA,NA,NA,NA,NA
4,Neptunia,NA,NA,NA,NA,NA
5,Adenopodia,NA,NA,NA,NA,NA
6,Piptadenia santosii,NA,NA,NA,NA,NA
7,Piptadenia imatacae,NA,NA,NA,NA,NA
8,Piptadenia laxipinna,NA,NA,NA,NA,NA
9,Piptadenia floribunda,NA,NA,NA,NA,NA
10,Piptadenia amazonica,NA,NA,NA,NA,NA
11,Piptadenia uliginosa,NA,NA,NA,NA,NA
12,Piptadenia anolidurus,NA,NA,NA,NA,NA
13,Piptadenia weberbaueri,NA,NA,NA,NA,NA
14,Piptadenia cuzcoensis,NA,NA,NA,NA,NA
15,Piptadenia irwinii,NA,NA,NA,NA,NA
16,Piptadenia micracantha,NA,NA,NA,NA,NA
17,Piptadenia retusa,NA,NA,NA,NA,NA
18,Piptadenia ramosissima,NA,NA,NA,NA,NA
19,Piptadenia minutiflora,NA,NA,NA,NA,NA
20,Piptadenia boliviana,NA,NA,NA,NA,NA
21,Piptadenia voronoffii,NA,NA,NA,NA,NA
22,Piptadenia peruviana,NA,NA,NA,NA,NA
23,Piptadenia pteroclada,NA,NA,NA,NA,NA
24,Piptadenia affinis,NA,NA,NA,NA,NA
25,Piptadenia killipii,NA,NA,NA,NA,NA
26,Mimosa guaiaguilensis,NA,NA,NA,NA,NA
27,Mimosa rhombifolia,NA,NA,NA,NA,NA
28,Mimosa ouyrarema,NA,NA,NA,NA,NA
29,Mimosa pilosa,NA,NA,NA,NA,NA
30,Mimosa trinervis,NA,NA,NA,NA,NA
31,Mimosa rhodacantha,NA,NA,NA,NA,NA
32,Mimosa natans,NA,NA,NA,NA,NA
33,Mimosa fruticosa,NA,NA,NA,NA,NA
34,Mimosa dichotoma,NA,NA,NA,NA,NA
35,Mimosa diadema,NA,NA,NA,NA,NA
36,Mimosa chrysantha,NA,NA,NA,NA,NA
37,Mimosa lentiscifolia,NA,NA,NA,NA,NA
38,Mimosa barrancana,NA,NA,NA,NA,NA
39,Mimosa fagaracantha,NA,NA,NA,NA,NA
40,Mimosa longiracemosa,NA,NA,NA,NA,NA
41,Mimosa detonsa,NA,NA,NA,NA,NA
42,Mimosa parvifoliolata,NA,NA,NA,NA,NA
43,Mimosa kitrokala,NA,NA,NA,NA,NA
44,Mimosa australis,NA,NA,NA,NA,NA
45,Mimosa epitropica,NA,NA,NA,NA,NA
46,Mimosa tucumensis,NA,NA,NA,NA,NA
47,Mimosa widgrenii,NA,NA,NA,NA,NA
48,Mimosa altoparanensis,NA,NA,NA,NA,NA
49,Mimosa chochisensis,NA,NA,NA,NA,NA
50,Mimosa asperoides,NA,NA,NA,NA,NA
51,Mimosa dupuyana,NA,NA,NA,NA,NA
52,Mimosa lemniscata,NA,NA,NA,NA,NA
53,Mimosa brevipes,NA,NA,NA,NA,NA
54,Mimosa haavoa,NA,NA,NA,NA,NA
55,Mimosa cubatanensis,NA,NA,NA,NA,NA
56,Mimosa puberula,NA,NA,NA,NA,NA
57,Mimosa eriocarpa,NA,NA,NA,NA,NA
58,Mimosa tetragona,NA,NA,NA,NA,NA
59,Mimosa diplacantha,NA,NA,NA,NA,NA
60,Mimosa exalbescens,NA,NA,NA,NA,NA
61,Mimosa centurionis,NA,NA,NA,NA,NA
62,Mimosa jaenensis,NA,NA,NA,NA,NA
63,Mimosa intricata,NA,NA,NA,NA,NA
64,Mimosa implexa,NA,NA,NA,NA,NA
65,Mimosa ramentacea,NA,NA,NA,NA,NA
66,Mimosa hypnodes,NA,NA,NA,NA,NA
67,Mimosa sobralii,NA,NA,NA,NA,NA
68,Mimosa mitzi,NA,NA,NA,NA,NA
69,Mimosa cordobensis,NA,NA,NA,NA,NA
70,Mimosa aureliana,NA,NA,NA,NA,NA
71,Mimosa leptantha,NA,NA,NA,NA,NA
72,Mimosa setistipula,NA,NA,NA,NA,NA
73,Mimosa brachystachya,NA,NA,NA,NA,NA
74,Mimosa lundiana,NA,NA,NA,NA,NA
75,Mimosa rocae,NA,NA,NA,NA,NA
76,Mimosa caccavariana,NA,NA,NA,NA,NA
77,Mimosa struthionoptera,NA,NA,NA,NA,NA
78,Mimosa hirsuticaulis,NA,NA,NA,NA,NA
79,Mimosa setuliseta,NA,NA,NA,NA,NA
80,Mimosa porrecta,NA,NA,NA,NA,NA
81,Mimosa alleniana,NA,NA,NA,NA,NA
82,Mimosa surumuensis,NA,NA,NA,NA,NA
83,Mimosa vexans,NA,NA,NA,NA,NA
84,Mimosa decumbens,NA,NA,NA,NA,NA
85,Mimosa itatiaiensis,NA,NA,NA,NA,NA
86,Mimosa cuzcoana,NA,NA,NA,NA,NA
87,Mimosa bombycina,NA,NA,NA,NA,NA
88,Mimosa glabra,NA,NA,NA,NA,NA
89,Mimosa nossibiensis,NA,NA,NA,NA,NA
90,Mimosa chaetosphaera,NA,NA,NA,NA,NA
91,Mimosa simplicissima,NA,NA,NA,NA,NA
92,Mimosa dumetaria,NA,NA,NA,NA,NA
93,Mimosa tweedieana,NA,NA,NA,NA,NA
94,Mimosa falcipinna,NA,NA,NA,NA,NA
95,Mimosa disperma,NA,NA,NA,NA,NA
96,Mimosa pedunculosa,NA,NA,NA,NA,NA
97,Mimosa morongii,NA,NA,NA,NA,NA
98,Mimosa humifusa,NA,NA,NA,NA,NA
99,Mimosa neonitens,NA,NA,NA,NA,NA
100,Mimosa ostenii,NA,NA,NA,NA,NA
101,Mimosa digitata,NA,NA,NA,NA,NA
102,Mimosa andringitrensis,NA,NA,NA,NA,NA
103,Mimosa planitei,NA,NA,NA,NA,NA
104,Mimosa leimonias,NA,NA,NA,NA,NA
105,Mimosa roseoalba,NA,NA,NA,NA,NA
106,Mimosa urbica,NA,NA,NA,NA,NA
107,Mimosa carolina,NA,NA,NA,NA,NA
108,Mimosa leonardii,NA,NA,NA,NA,NA
109,Mimosa trichocephala,NA,NA,NA,NA,NA
110,Mimosa balansae,NA,NA,NA,NA,NA
111,Mimosa chodatii,NA,NA,NA,NA,NA
112,Mimosa quitensis,NA,NA,NA,NA,1
113,Mimosa canastrensis,NA,NA,NA,NA,NA
114,Mimosa iperoensis,NA,NA,NA,NA,NA
115,Mimosa domingensis,NA,NA,NA,NA,NA
116,Mimosa rondoniana,NA,NA,NA,NA,NA
117,Mimosa afranioi,NA,NA,NA,NA,NA
118,Mimosa baptistae,NA,NA,NA,NA,NA
119,Mimosa montana,NA,NA,NA,NA,NA
120,Mimosa martin-delcampoi,NA,NA,NA,NA,NA
121,Mimosa custodis,NA,NA,NA,NA,NA
122,Mimosa scaberrima,NA,NA,NA,NA,NA
123,Mimosa bipennatula,NA,NA,NA,NA,NA
124,Mimosa pseudoracemosa,NA,NA,NA,NA,NA
125,Mimosa falconis,NA,NA,NA,NA,NA
126,Mimosa auriberbis,NA,NA,NA,NA,NA
127,Mimosa chelata,NA,NA,NA,NA,NA
128,Mimosa paraguariae,NA,NA,NA,NA,NA
129,Mimosa platyphylla,NA,NA,NA,NA,NA
130,Mimosa tejupilcana,NA,NA,NA,NA,NA
131,Mimosa thomista,NA,NA,NA,NA,NA
132,Mimosa chiquitaniensis,NA,NA,NA,NA,NA
133,Mimosa inamoena,NA,NA,NA,NA,NA
134,Mimosa setifera,NA,NA,NA,NA,NA
135,Mimosa rupestris,NA,NA,NA,NA,NA
136,Mimosa troncosoae,NA,NA,NA,NA,NA
137,Mimosa kuhlmannii,NA,NA,NA,NA,NA
138,Mimosa pusilliceps,NA,NA,NA,NA,NA
139,Mimosa foreroana,NA,NA,NA,NA,NA
140,Mimosa urandiensis,NA,NA,NA,NA,NA
141,Mimosa kermesina,NA,NA,NA,NA,NA
142,Mimosa uninervis,NA,NA,NA,NA,NA
143,Mimosa savokaea,NA,NA,NA,NA,NA
144,Mimosa pseudopetiolaris,NA,NA,NA,NA,NA
145,Mimosa glaucula,NA,NA,NA,NA,NA
146,Mimosa axillarioides,NA,NA,NA,NA,NA
147,Mimosa castanoclada,NA,NA,NA,NA,NA
148,Mimosa tandilensis,NA,NA,NA,NA,NA
149,Mimosa leptorhachis,NA,NA,NA,NA,NA
150,Mimosa barberi,NA,NA,NA,NA,NA
151,Mimosa amambayensis,NA,NA,NA,NA,NA
152,Mimosa distachya,NA,NA,NA,NA,NA
153,Mimosa sevilhae,NA,NA,NA,NA,NA
154,Mimosa monclovensis,NA,NA,NA,NA,NA
155,Mimosa uribeana,NA,NA,NA,NA,NA
156,Mimosa pseudotrachycarpa,NA,NA,NA,NA,NA
157,Mimosa lingvatouana,NA,NA,NA,NA,NA
158,Mimosa andina,NA,NA,NA,NA,NA
159,Mimosa dasilvae,NA,NA,NA,NA,NA
160,Mimosa macrocalyx,NA,NA,NA,NA,NA
161,Mimosa petraea,NA,NA,NA,NA,NA
162,Mimosa excedentis,NA,NA,NA,NA,NA
163,Mimosa suffruticosa,NA,NA,NA,NA,NA
164,Mimosa uniceps,NA,NA,NA,NA,NA
165,Mimosa ekmanii,NA,NA,NA,NA,NA
166,Mimosa tenuipendula,NA,NA,NA,NA,NA
167,Mimosa sceptrum,NA,NA,NA,NA,NA
168,Mimosa ernestii,NA,NA,NA,NA,NA
169,Mimosa deceptrix,NA,NA,NA,NA,NA
170,Mimosa diffusa,NA,NA,NA,NA,NA
171,Mimosa orinocoensis,NA,NA,NA,NA,NA
172,Mimosa niederleinii,NA,NA,NA,NA,NA
173,Mimosa myriacantha,NA,NA,NA,NA,NA
174,Mimosa rubra,NA,NA,NA,NA,NA
175,Mimosa glaziovii,NA,NA,NA,NA,NA
176,Mimosa medioxima,NA,NA,NA,NA,NA
177,Mimosa monticola,NA,NA,NA,NA,NA
178,Mimosa williamsii,NA,NA,NA,NA,NA
179,Mimosa caduca,NA,NA,NA,NA,NA
180,Mimosa mahilakensis,NA,NA,NA,NA,NA
181,Mimosa burkartii,NA,NA,NA,NA,NA
182,Mimosa luciana,NA,NA,NA,NA,NA
183,Mimosa pogonoclada,NA,NA,NA,NA,NA
184,Mimosa arturoana,NA,NA,NA,NA,NA
185,Mimosa cryptogloea,NA,NA,NA,NA,NA
186,Mimosa trinerva,NA,NA,NA,NA,NA
187,Mimosa barnebiana,NA,NA,NA,NA,NA
188,Mimosa candelabrum,NA,NA,NA,NA,NA
189,Mimosa plumosa,NA,NA,NA,NA,NA
190,Mimosa robsonii,NA,NA,NA,NA,NA
191,Mimosa calliandroides,NA,NA,NA,NA,NA
192,Mimosa sparsa,NA,NA,NA,NA,NA
193,Mimosa lasiocephala,NA,NA,NA,NA,NA
194,Mimosa guanchezii,NA,NA,NA,NA,NA
195,Mimosa brevipetiolata,NA,NA,NA,NA,NA
196,Mimosa brachycarpoides,NA,NA,NA,NA,NA
197,Mimosa macropogon,NA,NA,NA,NA,NA
198,Mimosa bocainae,NA,NA,NA,NA,NA
199,Mimosa floridana,NA,NA,NA,NA,NA
200,Mimosa niomarlei,NA,NA,NA,NA,NA
201,Mimosa cylindracea,NA,NA,NA,NA,NA
202,Mimosa nycteridis,NA,NA,NA,NA,NA
203,Mimosa pauli,NA,NA,NA,NA,NA
204,Mimosa insidiosa,NA,NA,NA,NA,NA
205,Mimosa lupinoides,NA,NA,NA,NA,NA
206,Mimosa coelocarpa,NA,NA,NA,NA,NA
207,Mimosa tanalarum,NA,NA,NA,NA,NA
208,Mimosa viva,NA,NA,NA,NA,NA
209,Mimosa balduinii,NA,NA,NA,NA,NA
210,Mimosa menabeensis,NA,NA,NA,NA,NA
211,Mimosa capuronii,NA,NA,NA,NA,NA
212,Mimosa manomboensis,NA,NA,NA,NA,NA
213,Mimosa bracteolaris,NA,NA,NA,NA,NA
214,Mimosa nitidula,NA,NA,NA,NA,NA
215,Mimosa glanduliseta,NA,NA,NA,NA,NA
216,Mimosa brevicalyx,NA,NA,NA,NA,NA
217,Mimosa pseudolepidota,NA,NA,NA,NA,NA
218,Mimosa subinermis,NA,NA,NA,NA,NA
219,Mimosa caaguazuensis,NA,NA,NA,NA,NA
220,Mimosa platycarpa,NA,NA,NA,NA,NA
221,Mimosa multiplex,NA,NA,NA,NA,NA
222,Mimosa cerifera,NA,NA,NA,NA,NA
223,Mimosa berroi,NA,NA,NA,NA,NA
224,Mimosa mainaea,NA,NA,NA,NA,NA
225,Mimosa fernandez-casasii,NA,NA,NA,NA,NA
226,Mimosa tarda,NA,NA,NA,NA,NA
227,Mimosa schininii,NA,NA,NA,NA,NA
228,Mimosa lawranceana,NA,NA,NA,NA,NA
229,Mimosa terribilis,NA,NA,NA,NA,NA
230,Mimosa canahuensis,NA,NA,NA,NA,NA
231,Mimosa guaviarensis,NA,NA,NA,NA,NA
232,Mimosa catharinensis,NA,NA,NA,NA,NA
233,Mimosa filipetiola,NA,NA,NA,NA,NA
234,Mimosa axillaris,NA,NA,NA,NA,NA
235,Mimosa longistipula,NA,NA,NA,NA,NA
236,Mimosa riverensis,NA,NA,NA,NA,NA
237,Mimosa serpensetosa,NA,NA,NA,NA,NA
238,Mimosa latidens,NA,NA,NA,NA,NA
239,Mimosa rheiptera,NA,NA,NA,NA,NA
240,Neptunia dimorphantha,NA,NA,NA,NA,NA
241,Neptunia major,NA,NA,NA,NA,NA
242,Neptunia monosperma,NA,NA,NA,NA,NA
243,Neptunia windleriana,NA,NA,NA,NA,NA
244,Neptunia javanica,NA,NA,NA,NA,NA
245,Neptunia amplexicaulis,NA,NA,NA,NA,NA
246,Adenopodia schlechteri,NA,NA,NA,NA,NA
247,Adenopodia rotundifolia,NA,NA,NA,NA,NA
248,Adenopodia gymnantha,NA,NA,NA,NA,1
249,Piptadenia irwinii var. unijuga,NA,NA,NA,NA,NA
250,Piptadenia irwinii var. irwinii,NA,NA,NA,NA,NA
251,Piptadenia killipii var. killipii,NA,NA,NA,NA,NA
252,Piptadenia killipii var. cacaophila,NA,NA,NA,NA,NA
253,Mimosa aurivillus var. warmingii,NA,NA,NA,NA,NA
254,Mimosa aurivillus var. sordescens,NA,NA,NA,NA,NA
255,Mimosa aurivillus var. calothamnoides,NA,NA,NA,NA,NA
256,Mimosa misera var. misera,NA,NA,NA,NA,NA
257,Mimosa misera var. subinermis,NA,NA,NA,NA,NA
258,Mimosa radula var. semitonsa,NA,NA,NA,NA,NA
259,Mimosa radula var. radula,NA,NA,NA,NA,NA
260,Mimosa radula var. calycina,NA,NA,NA,NA,NA
261,Mimosa radula var. radulina,NA,NA,NA,NA,NA
262,Mimosa tricephala var. tricephala,NA,NA,NA,NA,NA
263,Mimosa tricephala var. lagunensis,NA,NA,NA,NA,NA
264,Mimosa tricephala var. lignosa,NA,NA,NA,NA,NA
265,Mimosa rhododactyla var. rhododactyla,NA,NA,NA,NA,NA
266,Mimosa haavoa var. haavoa,NA,NA,NA,NA,NA
267,Mimosa haavoa var. peltieri,NA,NA,NA,NA,NA
268,Mimosa dolens subsp. rigida,NA,NA,NA,NA,NA
269,Mimosa dolens var. pubescens,NA,NA,NA,NA,NA
270,Mimosa dolens var. uncta,NA,NA,NA,NA,NA
271,Mimosa dolens var. latifolia,NA,NA,NA,NA,NA
272,Mimosa dolens var. rudis,NA,NA,NA,NA,NA
273,Mimosa dolens subsp. dolens,NA,NA,NA,NA,NA
274,Mimosa dolens var. foliolosa,NA,NA,NA,NA,NA
275,Mimosa dolens var. deterior,NA,NA,NA,NA,NA
276,Mimosa dolens subsp. eriophylla,NA,NA,NA,NA,NA
277,Mimosa dolens var. pangloea,NA,NA,NA,NA,NA
278,Mimosa dolens subsp. callosa,NA,NA,NA,NA,NA
279,Mimosa dolens var. pseudorigida,NA,NA,NA,NA,NA
280,Mimosa emoryana var. emoryana,NA,NA,NA,NA,NA
281,Mimosa emoryana var. chihuahuana,NA,NA,NA,NA,NA
282,Mimosa somnians var. aquatica,NA,NA,NA,NA,NA
283,Mimosa somnians var. possensis,NA,NA,NA,NA,NA
284,Mimosa somnians var. longipes,NA,NA,NA,NA,NA
285,Mimosa somnians var. deminuta,NA,NA,NA,NA,NA
286,Mimosa somnians var. leptocaulis,NA,NA,NA,NA,NA
287,Mimosa oblonga var. pinetorum,NA,NA,NA,NA,NA
288,Mimosa pilulifera var. pilulifera,NA,NA,NA,NA,NA
289,Mimosa calocephala var. calocephala,NA,NA,NA,NA,NA
290,Mimosa calocephala var. pohlii,NA,NA,NA,NA,NA
291,Mimosa distans subsp. distans,NA,NA,NA,NA,NA
292,Mimosa distans var. quadripinna,NA,NA,NA,NA,NA
293,Mimosa distans var. paraguariensis,NA,NA,NA,NA,NA
294,Mimosa distans var. planaltinae,NA,NA,NA,NA,NA
295,Mimosa distans subsp. elongata,NA,NA,NA,NA,NA
296,Mimosa dutrae var. major,NA,NA,NA,NA,NA
297,Mimosa dutrae var. dutrae,NA,NA,NA,NA,NA
298,Mimosa bombycina var. pluriceps,NA,NA,NA,NA,NA
299,Mimosa bombycina var. bombycina,NA,NA,NA,NA,NA
300,Mimosa diversipila var. diversipila,NA,NA,NA,NA,NA
301,Mimosa diversipila var. subglabriseta,NA,NA,NA,NA,NA
302,Mimosa myriadenia var. dispersa,NA,NA,NA,NA,NA
303,Mimosa myriadenia var. myriadenia,NA,NA,NA,NA,NA
304,Mimosa myriadenia var. egena,NA,NA,NA,NA,NA
305,Mimosa myriadenia var. desquamata,NA,NA,NA,NA,NA
306,Mimosa nossibiensis var. pubescens,NA,NA,NA,NA,NA
307,Mimosa skinneri var. minima,NA,NA,NA,NA,NA
308,Mimosa skinneri var. skinneri,NA,NA,NA,NA,NA
309,Mimosa skinneri var. carajarum,NA,NA,NA,NA,NA
310,Mimosa polycarpa var. polycarpa,NA,NA,NA,NA,NA
311,Mimosa polycarpa var. spegazzinii,NA,NA,NA,NA,NA
312,Mimosa gracilis subsp. capillipes,NA,NA,NA,NA,NA
313,Mimosa gracilis subsp. gracilis,NA,NA,NA,NA,NA
314,Mimosa gracilis var. filiformis,NA,NA,NA,NA,NA
315,Mimosa iperoensis var. paradenia,NA,NA,NA,NA,NA
316,Mimosa iperoensis var. iperoensis,NA,NA,NA,NA,NA
317,Mimosa hypoglauca var. syncollandra,NA,NA,NA,NA,NA
318,Mimosa hypoglauca var. dawsonii,NA,NA,NA,NA,NA
319,Mimosa invisa var. macrostachya,NA,NA,NA,NA,NA
320,Mimosa invisa subsp. spiciflora,NA,NA,NA,NA,NA
321,Mimosa invisa var. tovarensis,NA,NA,NA,NA,NA
322,Mimosa invisa subsp. invisa,NA,NA,NA,NA,NA
323,Mimosa acutistipula var. ferrea,NA,NA,NA,NA,NA
324,Mimosa paraguariae var. paraguariae,NA,NA,NA,NA,NA
325,Mimosa paraguariae var. multiglandulosa,NA,NA,NA,NA,NA
326,Mimosa paraguariae var. tomentosa,NA,NA,NA,NA,NA
327,Mimosa annularis var. odora,NA,NA,NA,NA,NA
328,Mimosa annularis var. annularis,NA,NA,NA,NA,NA
329,Mimosa annularis var. xinguensis,NA,NA,NA,NA,NA
330,Mimosa microcephala var. communis,NA,NA,NA,NA,NA
331,Mimosa microcephala var. mituensis,NA,NA,NA,NA,NA
332,Mimosa microcephala subsp. microcephala,NA,NA,NA,NA,NA
333,Mimosa microcephala var. lumaria,NA,NA,NA,NA,NA
334,Mimosa microcephala subsp. cataractae,NA,NA,NA,NA,NA
335,Mimosa adamantina var. hebecarpa,NA,NA,NA,NA,NA
336,Mimosa debilis var. parapitiensis,NA,NA,NA,NA,NA
337,Mimosa debilis var. angusta,NA,NA,NA,NA,NA
338,Mimosa debilis var. aequatoriana,NA,NA,NA,NA,NA
339,Mimosa debilis var. amnis-mortium,NA,NA,NA,NA,NA
340,Mimosa rubicaulis subsp. rubicaulis,NA,NA,NA,NA,NA
341,Mimosa foliolosa var. rigens,NA,NA,NA,NA,NA
342,Mimosa foliolosa subsp. foliolosa,NA,NA,NA,NA,NA
343,Mimosa foliolosa var. cercadoensis,NA,NA,NA,NA,NA
344,Mimosa foliolosa var. brevipinna,NA,NA,NA,NA,NA
345,Mimosa foliolosa var. corpulenta,NA,NA,NA,NA,NA
346,Mimosa foliolosa subsp. brevibractea,NA,NA,NA,NA,NA
347,Mimosa macedoana var. glabrescens,NA,NA,NA,NA,NA
348,Mimosa macedoana var. macedoana,NA,NA,NA,NA,NA
349,Mimosa extensa var. extensa,NA,NA,NA,NA,NA
350,Mimosa extensa var. annae,NA,NA,NA,NA,NA
351,Mimosa leprosa var. leprosa,NA,NA,NA,NA,NA
352,Mimosa claussenii var. soderstromii,NA,NA,NA,NA,NA
353,Mimosa claussenii var. dolichopoda,NA,NA,NA,NA,NA
354,Mimosa claussenii var. pumila,NA,NA,NA,NA,NA
355,Mimosa claussenii var. vespertilionis,NA,NA,NA,NA,NA
356,Mimosa sensitiva var. malitiosa,NA,NA,NA,NA,NA
357,Mimosa xanthocentra var. longepetiolata,NA,NA,NA,NA,NA
358,Mimosa xanthocentra var. miseranda,NA,NA,NA,NA,NA
359,Mimosa xanthocentra var. xanthocentra,NA,NA,NA,NA,NA
360,Mimosa xanthocentra var. exilis,NA,NA,NA,NA,NA
361,Mimosa acantholoba var. acantholoba,NA,NA,NA,NA,NA
362,Mimosa acantholoba var. molinarum,NA,NA,NA,NA,NA
363,Mimosa acantholoba var. seticuspis,NA,NA,NA,NA,NA
364,Mimosa amambayensis var. glabrata,NA,NA,NA,NA,NA
365,Mimosa amambayensis var. amambayensis,NA,NA,NA,NA,NA
366,Mimosa distachya var. chamelae,NA,NA,NA,NA,NA
367,Mimosa macrocalyx var. pectinata,NA,NA,NA,NA,NA
368,Mimosa macrocalyx var. macrocalyx,NA,NA,NA,NA,NA
369,Mimosa albida var. pochutlensis,NA,NA,NA,NA,NA
370,Mimosa albida var. willdenowii,NA,NA,NA,NA,NA
371,Mimosa albida var. glabrior,NA,NA,NA,NA,NA
372,Mimosa pigra var. pigra,NA,NA,NA,NA,NA
373,Mimosa sensibilis var. aquidabani,NA,NA,NA,NA,NA
374,Mimosa sensibilis var. urucumensis,NA,NA,NA,NA,NA
375,Mimosa sensibilis var. sensibilis,NA,NA,NA,NA,NA
376,Mimosa lanuginosa var. raduliformis,NA,NA,NA,NA,NA
377,Mimosa pudica var. tetrandra,NA,NA,NA,NA,NA
378,Mimosa pudica var. pudica,NA,NA,NA,NA,NA
379,Mimosa pudica var. pastoris,NA,NA,NA,NA,NA
380,Mimosa pringlei var. pringlei,NA,NA,NA,NA,NA
381,Mimosa pringlei var. graminetorum,NA,NA,NA,NA,NA
382,Mimosa chrysastra var. itambeana,NA,NA,NA,NA,NA
383,Mimosa chrysastra var. chrysastra,NA,NA,NA,NA,NA
384,Mimosa paupera var. paupera,NA,NA,NA,NA,NA
385,Mimosa paupera var. dives,NA,NA,NA,NA,NA
386,Mimosa monticola var. schwackeana,NA,NA,NA,NA,NA
387,Mimosa monticola var. monticola,NA,NA,NA,NA,NA
388,Mimosa phyllodinea var. phyllodinea,NA,NA,NA,NA,NA
389,Mimosa phyllodinea var. phyllorrhoea,NA,NA,NA,NA,NA
390,Mimosa regnellii var. supersetosa,NA,NA,NA,NA,NA
391,Mimosa regnellii var. regnellii,NA,NA,NA,NA,NA
392,Mimosa regnellii var. exuta,NA,NA,NA,NA,NA
393,Mimosa grahamii var. grahamii,NA,NA,NA,NA,NA
394,Mimosa grahamii var. prolifica,NA,NA,NA,NA,NA
395,Mimosa micropteris var. pungens,NA,NA,NA,NA,NA
396,Mimosa bifurca var. desmanthoides,NA,NA,NA,NA,NA
397,Mimosa bifurca var. bifurca,NA,NA,NA,NA,NA
398,Mimosa bifurca var. reducta,NA,NA,NA,NA,NA
399,Mimosa bifurca var. hassleriana,NA,NA,NA,NA,NA
400,Mimosa brevipetiolata var. brevipetiolata,NA,NA,NA,NA,NA
401,Mimosa brevipetiolata var. pauperoides,NA,NA,NA,NA,NA
402,Mimosa diplotricha var. odibilis,NA,NA,NA,NA,NA
403,Mimosa insidiosa var. major,NA,NA,NA,NA,NA
404,Mimosa insidiosa var. insidiosa,NA,NA,NA,NA,NA
405,Mimosa guilandinae var. cuatrecasasii,NA,NA,NA,NA,NA
406,Mimosa guilandinae var. spruceana,NA,NA,NA,NA,NA
407,Mimosa guilandinae var. paterata,NA,NA,NA,NA,NA
408,Mimosa guilandinae var. duckei,NA,NA,NA,NA,NA
409,Mimosa guilandinae var. extensissima,NA,NA,NA,NA,NA
410,Mimosa menabeensis var. lapiazicola,NA,NA,NA,NA,NA
411,Mimosa setosa var. metadenotricha,NA,NA,NA,NA,NA
412,Mimosa rufescens var. rufescens,NA,NA,NA,NA,NA
413,Mimosa rufescens var. amnis-nigri,NA,NA,NA,NA,NA
414,Mimosa platycarpa var. liesneri,NA,NA,NA,NA,NA
415,Mimosa dryandroides var. dryandroides,NA,NA,NA,NA,NA
416,Mimosa arenosa var. lysalgica,NA,NA,NA,NA,NA
417,Mimosa arenosa var. arenosa,NA,NA,NA,NA,NA
418,Mimosa occidentalis var. novogaliciana,NA,NA,NA,NA,NA
419,Mimosa schrankioides var. sagotiana,NA,NA,NA,NA,NA
420,Mimosa schrankioides var. schrankioides,NA,NA,NA,NA,NA
421,Mimosa hirsutissima var. hirsutissima,NA,NA,NA,NA,NA
422,Mimosa quadrivalvis var. angustata,NA,NA,NA,NA,NA
423,Mimosa quadrivalvis var. jaliscensis,NA,NA,NA,NA,NA
424,Mimosa quadrivalvis var. platycarpa,NA,NA,NA,NA,NA
425,Mimosa quadrivalvis var. quadrivalvis,NA,NA,NA,NA,NA
426,Mimosa quadrivalvis var. urbaniana,NA,NA,NA,NA,NA
427,Mimosa quadrivalvis var. diffusa,NA,NA,NA,NA,NA
428,Neptunia gracilis f. gracilis,NA,NA,NA,NA,NA
429,Neptunia gracilis f. glandulosa,NA,NA,NA,NA,NA
430,Neptunia pubescens var. pubescens,NA,NA,NA,NA,NA
431,Neptunia pubescens var. microcarpa,NA,NA,NA,NA,NA
432,Neptunia amplexicaulis f. richmondii,NA,NA,NA,NA,NA
433,Neptunia amplexicaulis f. amplexicaulis,NA,NA,NA,NA,NA
